race_date,event,course,percent_off_best,race_time_sec,pre_race_14d_load,pre_race_14d_distance_km,pre_race_14d_sessions
2024-06-07,1500 FR LCM,LCM,3.262976613393016,1241.19,1318.7056450532957,16.664940444946286,7
2024-06-08,400 FR LCM,LCM,3.77860026917901,308.43,1318.7056450532957,16.664940444946286,7
2024-06-09,100 FR LCM,LCM,3.8300418910831873,69.4,1318.7056450532957,16.664940444946286,7
2024-06-09,800 FR LCM,LCM,4.415422885572143,638.02,1318.7056450532957,16.664940444946286,7
2024-06-22,400 IM LCM,LCM,3.771798990362561,361.79,2852.3760296059863,47.86772012329101,12
2024-06-22,100 FR LCM,LCM,0.6882106523040001,67.3,2852.3760296059863,47.86772012329101,12
2024-06-22,200 FR LCM,LCM,5.097984517748799,150.7,2852.3760296059863,47.86772012329101,12
2024-06-23,200 IM LCM,LCM,2.688235294117643,174.57,2852.3760296059863,47.86772012329101,12
2024-06-23,50 FR LCM,LCM,1.7994858611825153,31.68,2852.3760296059863,47.86772012329101,12
2024-06-23,400 FR LCM,LCM,6.231493943472422,315.72,2852.3760296059863,47.86772012329101,12
2024-07-11,200 FR LCM,LCM,0.481205104958523,144.08,2736.8893745781916,45.88620010375977,11
2024-07-12,400 IM LCM,LCM,5.464089031665905,367.69,2416.2865176182922,40.836200103759765,10
2024-07-12,100 FR LCM,LCM,0.0,66.84,2416.2865176182922,40.836200103759765,10
2024-07-12,400 IM LCM,LCM,0.0,348.64,2416.2865176182922,40.836200103759765,10
2024-07-12,200 BK LCM,LCM,0.0,168.66,2416.2865176182922,40.836200103759765,10
2024-07-13,400 FR LCM,LCM,0.7537012113055213,299.44,2203.8950799682434,36.03620010375977,9
2024-07-13,100 BK LCM,LCM,1.4471243042671638,82.02,2203.8950799682434,36.03620010375977,9
2024-07-14,50 FR LCM,LCM,0.0,31.12,2203.8950799682434,36.03620010375977,9
2024-07-14,200 IM LCM,LCM,0.0,170.0,2203.8950799682434,36.03620010375977,9
2024-07-19,100 FL SCY,SCY,2.351863164324973,67.02,1744.709448728429,29.445860336303713,8
2024-07-19,50 FR SCY,SCY,2.893309222423149,28.45,1744.709448728429,29.445860336303713,8
2024-07-20,100 FR SCY,SCY,3.226913834534848,60.14,1507.6852732006798,25.345860336303712,7
2024-07-20,100 BK SCY,SCY,2.692140686061657,70.95,1507.6852732006798,25.345860336303712,7
2024-10-06,100 BR SCY,SCY,3.765187056417671,86.26,2017.6993946576847,27.964624169846385,9
2024-10-06,50 FR SCY,SCY,4.773960216998193,28.97,2017.6993946576847,27.964624169846385,9
2024-10-06,200 FR SCY,SCY,3.914647842130592,129.54,2017.6993946576847,27.964624169846385,9
2024-10-06,200 BK SCY,SCY,10.817776539426024,159.09,2017.6993946576847,27.964624169846385,9
2024-10-26,50 FR SCY,SCY,0.0,27.65,2324.463799084311,35.52444094848632,10
2024-10-26,200 FR SCY,SCY,6.385368201508109,132.62,2324.463799084311,35.52444094848632,10
2024-10-26,100 FR SCY,SCY,5.355303810504643,61.38,2324.463799084311,35.52444094848632,10
2024-11-09,500 FR SCY,SCY,5.182571340902131,342.79,2587.0194835922516,40.005001068115234,11
2024-11-09,100 FL SCY,SCY,9.560171044593757,71.74,2587.0194835922516,40.005001068115234,11
2024-11-09,100 BK SCY,SCY,7.005355333622816,73.93,2587.0194835922516,40.005001068115234,11
2024-11-10,50 FR SCY,SCY,1.9168173598553389,28.18,2441.535664685706,38.33622102355957,10
2024-11-10,200 FR SCY,SCY,7.211615594416822,133.65,2441.535664685706,38.33622102355957,10
2024-11-11,100 FR SCY,SCY,6.797116374871269,62.22,2441.535664685706,38.33622102355957,10
2024-11-11,1000 FR SCY,SCY,4.394448805486037,704.84,2441.535664685706,38.33622102355957,10
2024-11-23,100 BK SCY,SCY,3.835576783905039,71.74,1594.401155027424,30.906720825195315,9
2024-11-23,100 FR SCY,SCY,7.895640233436323,62.86,1594.401155027424,30.906720825195315,9
2024-11-23,50 FR SCY,SCY,1.2296564195298367,27.99,1594.401155027424,30.906720825195315,9
2024-12-05,1000 FR SCY,SCY,4.8654412962661295,708.02,1798.962664046235,25.90038069152832,10
2024-12-06,200 FR SCY,SCY,2.4065458045884807,127.66,1576.4786657967563,21.717000579833982,9
2024-12-07,50 FR SCY,SCY,0.9764918625678232,27.92,1423.9743938617144,18.836640502929686,8
2024-12-07,500 FR SCY,SCY,2.000613685179515,332.42,1423.9743938617144,18.836640502929686,8
