load_phase,weeks,avg_load,avg_distance_km,avg_duration_min,avg_hr,avg_near_max_share,avg_acr
holding,2,1780.6072823286054,13.807440368652344,450.91216624975203,141.16368622182011,0.5522195037844384,1.0183275495341717
loading,21,1759.2827879478064,18.724303741455078,725.0375628056034,141.8738383649022,0.2683228093572542,1.3420396427847265
mixed,44,1343.7345033385084,16.083684967940954,604.0184959910132,141.00413530808692,0.2389953861565244,1.0435511195409861
unloading,13,1002.0088716694942,12.44141107060359,465.6554339900995,142.0382751206781,0.25600568901895077,0.8522645268356747
recovery,27,529.8075289169947,7.797607701619466,334.8715472261111,133.61644774456838,0.10661300046326633,0.7699215432972323
