week_start,sessions,total_distance_km,total_duration_min,mean_avg_hr,max_hr,mean_hrr_intensity,mean_sample_zone_depth,mean_active_zone_depth,total_active_zone_minutes,mean_active_zone_share,total_near_max_min,total_simple_hr_load,total_zone_weighted_load,total_combined_load,mean_load_per_km,mean_hr_efficiency_proxy,mean_pace_50_s,load_4w_avg,hr_4w_avg,near_max_4w_avg
2024-05-27,2,4.68630012512207,270.7860826333364,141.03388850335415,195.0,0.5250630390308806,1.0052214620093625,2.16,1.25,0.004501260352898812,26.98319473663966,142.4909370047303,272.2826818674506,407.1986555506489,91.79467186563878,0.49447681188067283,70.22280113575944,407.1986555506489,141.03388850335415,26.98319473663966
2024-06-03,5,11.978640319824217,446.2467243393262,143.94129121536844,193.0,0.5456829164210527,1.0080416555762577,2.0,3.7333333333333334,0.008041655576257653,92.74984470804533,242.61703002222256,447.75776596242014,911.5069895026468,74.98245666056309,0.32843663120084676,47.29968939868169,659.3528225266479,142.4875898593613,59.866519722342495
2024-06-10,6,22.821800079345703,847.5358479897181,140.42011590029998,208.0,0.520710041846099,1.0286574185138782,2.608341579690933,13.966666666666669,0.016819705303425424,117.32080900669098,442.3675354703368,871.9942893374302,1458.5983343708851,90.81107230522595,0.414918337484727,57.88438572635602,925.7679931413936,141.79843187300753,79.017949483792
2024-06-17,6,25.045920043945312,902.4131684184074,142.2464291844971,198.0,0.5336626183297667,1.0059016489478678,2.0289017341040463,5.016666666666667,0.005535750667589785,97.1748450756073,482.66131553611,907.9034698570644,1393.7776952351007,62.06732566174417,0.33373292173310265,47.10450298014592,1042.7704186648205,141.9104312008799,83.55717338174581
2024-06-24,7,28.317520080566403,1079.477999917666,139.42911890205684,200.0,0.5136816943408288,1.0084447839137052,2.114537560159029,7.366666666666667,0.007405744035523025,135.5893369078636,556.8773266102557,1088.0146456558634,1765.9613301951815,85.73216610076723,0.4118846250267908,56.918021558122234,1382.4610873259535,141.50923880055558,110.70870892455181
2024-07-01,5,23.6,719.8056507349014,146.85647466537174,205.0,0.5663579763501541,1.0419728609989005,2.106311128069504,25.383333333333333,0.035609505794069865,85.68332825303078,406.20171504214284,750.0273073735209,1178.443948638675,50.69568273410132,0.28316187503492374,41.68968744041801,1449.1953271099605,142.2380346630564,108.94207981079816
2024-07-08,3,10.74456005859375,395.0008215506872,148.51352479320872,200.0,0.5781101049163739,1.0220930525416554,2.0480668756530824,8.316666666666666,0.020335650440413744,54.233320605754855,228.57671033568073,404.1846057610036,675.3512087897777,70.89421150512607,0.3071212406092331,45.43480854612539,1253.3835457146838,144.26138688628362,93.17020771056414
2024-07-15,3,10.40130027770996,414.74056890209516,137.66327381488034,187.0,0.5011579703183004,1.0000851643672288,2.0,0.03333333333333333,8.51643672287515e-05,39.28325183590253,207.8198684765446,414.7745094605949,611.1907686401075,58.94392941212826,0.39184376635658946,53.86903023301043,1057.7368140659355,143.1155980438794,78.69730940063795
2024-07-22,5,14.424660385131835,682.9032264490922,137.28123493414188,191.0,0.498448474710226,1.0022677850264057,2.0,1.2166666666666666,0.002267785026405716,71.84997036059697,338.707047161716,684.1375788961269,1043.3874306991117,75.54215614526876,0.4342910915398967,59.206822558193345,877.093339191918,142.57862705190067,62.762467763821284
2024-07-29,2,0.6446759185791,95.07747419675192,115.41152398334569,174.0,0.3433441417258559,1.0,,0.0,0.0,4.075,33.35243151326944,95.07747419675192,115.45247419675192,184.01385157632285,4.066514179125967,454.12082513252386,611.3454705814372,134.71738938139416,42.36038570056358
2024-08-05,7,6.338447875976562,502.5306140681108,107.94815493500941,170.0,0.29041244634758456,1.0,,0.0,0.0,22.46666667064031,134.17863171875723,502.5306140681108,614.8639474213123,98.77035325735164,2.2351546067681407,236.1021858603695,596.2236552393209,124.57604691684433,34.41872221678496
2024-08-12,5,8.979870529174804,459.7196959177653,133.2703452553303,198.0,0.4700024486193639,1.0267282446569632,2.1110547865080913,13.75,0.022442693810696173,60.94986568291982,246.14654762186575,476.24622350210143,780.9955519167006,82.97651370615048,0.733753590723947,91.40839684896369,638.6748510584691,123.47781477695682,39.83537567853928
2024-08-19,4,10.67562028503418,519.1172305504481,140.50725740837714,192.0,0.5213280667260789,1.0142621639400793,2.0,6.2,0.014262163940079266,83.93330446481704,268.3547313845671,525.5675974291227,945.234119753208,89.15392880561083,0.3954652347054425,55.24906063619935,614.1365233219932,124.28432039551565,42.85620920459429
2024-08-26,5,16.253460433959958,593.0310597141583,152.08660175777575,196.0,0.6034510762962819,1.0122319711579986,2.026,6.366666666666667,0.011792113265932932,129.74972523053486,354.3130103858477,599.8602279242414,1248.6088540769156,76.93553184451761,0.3207888782232861,48.53736679217036,897.4256182920341,133.45308983912315,74.27489051222801
2024-09-02,2,6.560820175170898,267.3458815495173,156.9046775461744,205.0,0.637621826568613,1.03754295840937,2.252450980392157,7.3999999999999995,0.025818427959740074,42.822918421030046,170.1961877216341,278.54624688511853,492.66083899026876,77.28517133122514,0.28752644328243426,45.108597703680815,866.8748411842732,145.6922204919144,79.36395344982544
2024-09-09,5,16.322040435791013,589.8131827692191,149.80220893983983,195.0,0.5872497087931903,1.0092492510611897,2.050268336314848,4.833333333333333,0.008682607731709799,102.6332158823808,342.5278292694712,595.2091042136088,1108.3751836255128,68.39920633323358,0.3299192005339801,49.15099774054503,948.7197491114762,149.8251864130418,89.7847909996907
2024-09-16,4,13.441680358886718,504.8306308329105,145.11139918045092,196.0,0.5539815544712832,1.0437688097438025,2.0676905574516495,15.916666666666668,0.038856326256351964,97.09984072049458,279.52399711952364,526.1930783188012,1011.6922819212741,78.15138694709213,0.37954522701641763,54.82633965731298,965.3342896534928,150.97622185606022,93.07642506361007
2024-09-23,5,17.190720458984377,539.9510209918022,156.47529131471816,202.0,0.6345765341469374,1.0568601390266101,2.0939992846747737,24.05,0.048175883837735516,105.78325126767159,342.94992472509716,570.9360168388313,1099.8522731771893,65.00970792174402,0.30380791622290265,47.47569188868226,928.1451444285613,152.07339424529584,87.08480657289425
2024-09-30,4,10.773903710862008,425.9595507999261,141.8870942033822,204.0,0.5311141432863985,1.0922692855032743,2.48163082437276,19.883333333333336,0.04811781515663384,89.4999923467636,246.98031371832496,470.3471597466776,917.8471214804956,108.1718286269477,0.968930801312633,116.81854846526957,1034.441715051118,148.31899840959778,98.75407505432764
2024-10-07,4,14.561820388793945,516.1443859179815,143.63841278980595,194.0,0.5435348424808933,1.0063296725412452,2.0185185185185186,2.766666666666667,0.00610853145323105,82.06642294923464,280.4534905373576,519.1927511156629,929.5248658618361,65.30707585737355,0.4135326867263131,59.35954628822057,989.7291356101987,146.7780493720893,93.6123768210411
2024-10-14,4,12.710160339355467,506.2834190825621,145.09096553167447,198.0,0.5538366349764147,1.0290894724520612,2.0804371068529552,12.583333333333332,0.026888986313482043,49.33333334724109,279.4954801544157,520.8275484760443,767.4942152122496,61.889735608135595,0.37311678717732005,53.915001795402596,928.6796189329426,146.7729409598952,81.67074997772772
2024-10-21,6,19.979640533447267,707.142199454705,146.59188659527163,203.0,0.5644814652146923,1.0119358594688843,2.13265306122449,7.666666666666667,0.01088446232383196,149.23330359657606,399.51407882734065,716.2079592607273,1462.3744772436075,75.07658080319788,0.32558101184826305,47.679206020270605,1019.3101699495472,144.30208978003355,92.53326305995384
2024-10-28,5,19.339560516357423,653.1793548007806,142.46979943698148,200.0,0.5352468045175991,1.053464534440876,2.0581593194122196,23.950000000000003,0.04232709368258224,99.53331437110901,350.699160184011,687.7490198135733,1185.4155916691184,59.63125518650461,0.348382138763745,49.62482008837708,1086.2022874967029,144.44776608843338,95.04159356604019
2024-11-04,5,18.996660507202147,675.7137305676937,142.2665087050806,203.0,0.5338050262771674,1.012593341019873,2.2462406015037595,5.833333333333334,0.009398289700864022,114.43321496645609,360.9499363873555,683.9539981843067,1256.1200730165872,66.68618550050007,0.3411967380233558,48.4013757763543,1167.8510892853906,144.10479006725205,103.13329157034556
2024-11-11,4,10.561320281982422,380.0538542151451,117.88142848188876,189.0,0.3608611949070125,1.000429620371817,2.0,0.18333333333333332,0.0004296203718169036,48.6332171857357,186.9789864738843,380.28103649997064,623.4471224286492,59.0689682183965,0.36703346563405864,51.03747911189949,1131.8393160894907,137.30240580480563,102.95826252996922
2024-11-18,5,20.34540054321289,679.5218054016431,143.74764010830268,201.0,0.5443095043142033,1.0182696058950742,2.277278493938786,8.3,0.013243670337192977,55.649941591421765,371.5070432362896,692.7043246416661,970.9540325987748,48.22362327399226,0.3068035264502896,43.976343755032055,1008.9842049282825,136.59134418306337,79.56242202868066
2024-11-25,4,12.664440338134765,509.3504461586475,139.96910501717383,192.0,0.5175113831005236,1.0024440308299272,2.0,0.8,0.002444030829927201,48.13333334128062,256.04739592245704,510.25420658617554,750.9208732925787,60.53731243212126,0.36896842314023803,50.94382364507593,900.3605253341475,135.96617057811147,66.71242677122355
2024-12-02,4,6.172200164794921,352.5928131679694,126.8801791509632,198.0,0.42468212163803687,1.0095580071912946,2.090452261306533,3.7,0.008198490574980413,63.14997762044271,151.7960185704999,357.30363246692235,673.0535205691359,81.07235413672413,0.3337719764846632,44.24281588975605,754.5938872222846,132.11958818958212,53.8916174347202
2024-12-09,3,8.686800231933592,258.57678591807684,151.92664561630474,194.0,0.6023166355766293,1.0122865045744474,2.0290322580645164,3.5,0.011780517055472908,58.76669134100278,158.1313320400199,262.7314961345628,556.5649528395767,65.79926258890715,0.3270167663516923,49.687721539656486,737.8733448250165,140.63089247318612,56.42498597353697
2024-12-16,5,22.128480590820313,664.8837490558624,150.64833867833832,196.0,0.5932506289243853,1.0130180076021442,2.0316666666666667,7.166666666666667,0.011954921855886154,104.04999999602636,393.98234637529777,673.899066420988,1194.1490664011199,53.856661635027976,0.31726665686665356,47.76071248764349,793.6721032756027,142.35606711569503,68.52500057468812
2024-12-23,3,15.133320404052734,396.7181224147479,149.44962549885,199.00000000000003,0.5847491170131206,1.0514452187641778,2.2098837209302324,14.566666666666666,0.036431702440617886,81.33323511282603,232.3528126387314,417.87491817279283,824.541093736923,53.854971783421,0.3194309983491165,47.49651951993064,812.0771583866889,144.72619723611405,76.82497601757447
2024-12-30,6,28.552140762329103,891.0586004177729,147.15802903154557,194.0,0.5684966597981954,1.0037075249319123,2.007518796992481,2.8833333333333337,0.0036242436493805256,211.8665539820989,507.979792919485,894.1554519856381,1953.4882218961327,68.4492898128065,0.34092315343038454,50.02721978911273,1132.185833718438,149.79565970625964,114.00412010798853
2025-01-06,4,16.024860427856442,495.6696750322978,150.30921011261256,206.0,0.5908454617915784,1.068277553994748,2.185649935649936,18.983333333333334,0.044985127061113156,93.11638272603354,293.05340657152584,528.9069847222313,994.488898352399,62.44313084104908,0.3314508775327544,49.44130725560312,1241.6668200966435,149.3913008303366,122.59154295424621
2025-01-13,4,16.253460433959958,523.7306496322155,144.60678440246537,193.0,0.5504027262586196,1.0156771459525766,2.0,7.366666666666667,0.01567714595257656,91.54987700184186,287.8485019322197,531.9593556684408,989.7087406776501,61.413497598246146,0.32425185301135245,46.91899946878957,1190.556738665776,147.8809122613684,119.46651220570008
2025-01-20,7,18.831620040893554,692.2948616325855,143.7310942178872,202.0,0.544192157573668,1.0073816192048615,2.124203821656051,4.433333333333334,0.005759896436289613,97.26868598858515,352.01988195477264,698.5124046575152,1184.8558346004409,82.51951469215801,0.36769837828615454,53.32989414173862,1280.6354238816557,146.45127944112767,123.45037492463987
2025-01-27,5,16.093440429687497,546.1657298823197,136.8911030023624,195.0,0.49568158157703834,1.0188140882746322,2.1066433566433567,9.533333333333333,0.017001040273443305,69.76653009255728,268.6630898696302,558.0618216772255,906.8944721400118,58.40934706998202,0.3357302563840398,45.753589137061546,1018.9869864426253,143.8845479338319,87.92536895225446
2025-02-03,1,0.0,120.16042175094286,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,770.3647618545256,141.74299387423832,64.64627327074608
2025-02-10,6,22.014180587768553,800.5974978824456,132.06857828734232,194.0,0.4614792786336334,1.0007334847624456,2.107142857142857,0.4666666666666667,0.0006625023660798788,81.64583331545194,367.7069222013392,801.184629682455,1209.4137962597147,59.77514206440919,0.40745715399547416,53.84587679648496,825.2910257500416,137.56359183586397,62.17026234914859
2025-02-17,5,18.49374049377441,667.9854733665784,140.19865104237584,194.0,0.5191393690948641,1.0043761108462586,2.0270270270270268,2.45,0.004225489533342934,73.26663500070572,347.79936224353,671.0739906465661,1037.4071656500946,55.75720293959591,0.33630953861644397,46.86140764841648,788.4288585124551,136.3861107773602,56.169749602178726
2025-02-24,5,16.162020431518556,604.1640813032786,142.19140864745623,195.0,0.5332724017550087,1.0040071621373072,2.0396825396825395,2.3,0.0037899125174940497,72.64999999403953,322.6497795863189,606.7247821150354,969.9747820852332,61.84369959537266,0.35688067529012335,50.71834074473086,804.1989359987605,138.1528793257248,56.890617077549294
