week_start,sessions,total_distance_km,total_duration_min,mean_avg_hr,max_hr,mean_hrr_intensity,total_near_max_min,total_simple_hr_load,total_zone_weighted_load,total_combined_load,mean_load_per_km,mean_hr_efficiency_proxy,mean_pace_50_s,load_4w_avg,hr_4w_avg,near_max_4w_avg,load_delta,load_pct_change,acute_load_2w,chronic_load_6w,acute_chronic_ratio,near_max_share,load_per_hour,high_intensity_week,high_load_week,low_load_week,load_phase,phase_with_intensity,previous_phase,phase_transition
2024-05-27,2,4.68630012512207,270.7860826333364,141.03388850335415,195.0,0.5250630390308806,26.98319473663966,142.4909370047303,270.7860826333364,405.7020563165347,91.38549667038625,0.4944768118806728,70.22280113575944,405.7020563165347,141.03388850335415,26.98319473663966,,,405.7020563165347,,,0.09964764242768276,89.89429272830483,False,False,True,recovery,recovery,,start -> recovery
2024-06-03,5,11.978640319824216,446.2467243393262,143.94129121536844,193.0,0.5456829164210527,92.74984470804532,242.61703002222256,443.952660381794,907.7018839220208,74.68117171499846,0.3284366312008467,47.29968939868169,656.7019701192777,142.4875898593613,59.866519722342495,501.9998276054861,123.73608163667242,656.7019701192778,656.7019701192778,1.0,0.20784431492547673,122.0448466393856,False,False,False,mixed,mixed,recovery,recovery -> mixed
2024-06-10,6,22.821800079345703,847.5358479897181,140.42011590029998,208.0,0.520710041846099,117.32080900669098,442.3675354703368,847.5358479897181,1434.139893023173,89.9299874529308,0.414918337484727,57.88438572635602,915.8479444205764,141.79843187300753,79.017949483792,526.4380091011523,57.99679591128597,1170.920888472597,915.8479444205763,1.2785101452767862,0.13842577784168753,101.52773335250626,False,False,False,loading,loading,mixed,mixed -> loading
2024-06-17,6,25.045920043945312,902.4131684184074,142.2464291844971,198.0,0.5336626183297667,97.1748450756073,482.66131553611,902.4131684184074,1388.287393796444,61.866607711588784,0.3337329217331026,47.10450298014592,1033.957806764543,141.9104312008799,83.55717338174581,-45.85249922672915,-3.1972124511557842,1411.2136434098084,1033.9578067645432,1.3648657945006215,0.10768331899003472,92.30499569701043,False,False,False,mixed,mixed,loading,loading -> mixed
2024-06-24,7,28.317520080566403,1079.477999917666,139.42911890205684,200.0,0.5136816943408288,135.5893369078636,556.8773266102557,1079.477999917666,1757.4246844569843,85.49438475148642,0.4118846250267908,56.91802155812224,1371.8884637996557,141.50923880055558,110.7087089245518,369.13729066054043,26.58940017103295,1572.8560391267142,1178.6511823030314,1.3344542157531496,0.12560639208784735,97.68191762635422,False,True,False,loading,loading,mixed,mixed -> loading
2024-07-01,5,23.6,719.8056507349014,146.85647466537174,205.0,0.5663579763501541,85.68332825303078,406.2017150421429,1003.8063971698284,1432.2230384349823,62.96903207362145,0.2831618750349237,41.68968744041801,1503.0187524278958,142.2380346630564,108.94207981079816,-325.201646022002,-18.504442830361413,1594.8238614459833,1220.9131583250232,1.3062549539837296,0.11903675410932174,119.38414517635887,False,False,False,mixed,mixed,loading,loading -> mixed
2024-07-08,3,10.74456005859375,395.0008215506872,148.51352479320872,200.0,0.5781101049163739,54.233320605754855,228.57671033568076,395.0008215506872,666.1674245794615,70.04205424978079,0.3071212406092331,45.43480854612539,1311.025635316968,144.26138688628362,93.17020771056414,-766.0556138555208,-53.48717296801793,1049.195231507222,1264.324053035511,0.8298467698911627,0.13729926027203349,101.18977808161004,False,False,True,recovery,recovery,mixed,mixed -> recovery
2024-07-15,3,10.40130027770996,414.7405689020952,137.66327381488034,187.0,0.5011579703183004,39.28325183590253,207.8198684765446,414.7405689020952,611.1568280816078,58.94077715351788,0.3918437663565894,53.86903023301043,1116.742993888259,143.1155980438794,78.69730940063795,-55.01059649785361,-8.257773416732395,638.6621263305346,1214.899877062109,0.5256911605546936,0.0947176494932567,88.41529484797701,False,False,True,recovery,recovery,recovery,recovery -> recovery
2024-07-22,5,14.424660385131835,682.9032264490922,137.28123493414188,191.0,0.498448474710226,71.84997036059697,338.707047161716,682.9032264490922,1042.153078252077,75.40190635671074,0.4342910915398967,59.20682255819335,937.925092337032,142.57862705190067,62.76246776382128,430.9962501704691,70.52138344315743,826.6549531668425,1149.568741266926,0.7191000620422193,0.1052125214493376,91.56375643480126,False,False,False,mixed,mixed,recovery,recovery -> mixed
2024-07-29,2,0.6446759185791,95.07747419675192,115.41152398334567,174.0,0.3433441417258559,4.075,33.35243151326944,95.07747419675192,115.45247419675192,184.01385157632285,4.066514179125967,454.1208251325239,608.7324512774745,134.71738938139416,42.36038570056358,-926.700604055325,-88.92173552944914,578.8027762244144,937.4295880003107,0.6174360012031352,0.042859783922817044,72.8579351768451,False,False,True,recovery,recovery,mixed,mixed -> recovery
