id,transition_count,hr_rise_events,avg_hr_rise_bpm,median_hr_rise_bpm,avg_hr_rise_bpm_per_min,hr_drop_events,avg_hr_drop_bpm,median_hr_drop_bpm,avg_hr_drop_bpm_per_min
9D87641F-2BB8-40A6-8F40-DAAAC2C6EB15,155,140.0,3.346105968383631,2.7777777777777857,1.6730529841918156,136.0,-0.7034491707238102,0.11111111111111427,-0.9379322276317471
BD3DB5FA-70B0-47E1-A2A6-2BD8444D80B3,97,93.0,0.918578588629413,0.46190476190474783,0.4592892943147065,94.0,-4.903436929277034,-2.8989898989899245,-6.537915905702712
D2A76A13-D33B-4528-BA1B-B88B4AB168DB,131,129.0,4.811446199708399,2.8888888888888857,2.4057230998541996,129.0,-2.4154173434295565,-1.9516908212560224,-3.220556457906075
2C3444E8-5EC6-4312-812C-ED6C3995FF10,95,89.0,4.10695795315624,2.706349206349188,2.05347897657812,87.0,-2.1011282233873554,-1.9583333333333428,-2.801504297849808
4ABB7AF2-FB62-4109-8C97-50B01EE32488,123,104.0,0.6763123449778197,0.6805555555555571,0.33815617248890983,100.0,-4.592756737667887,-3.1458333333333286,-6.123675650223852
4DC6E959-F624-4768-A0F3-6BE9DDE6541D,118,114.0,2.0018134289644567,-0.7083333333333286,1.0009067144822283,113.0,-3.3276148380182122,-1.0238095238095468,-4.436819784024283
F3D4F5CF-11E2-4138-9E12-0F6EC42B5ACB,101,100.0,-0.8869091947283357,-2.8313492063492163,-0.44345459736416787,100.0,-1.5901580560530666,-0.75,-2.120210741404089
D1B1FAD8-59A4-4671-8480-305CDF4FC8FF,145,142.0,1.7455121831237912,0.7944444444444514,0.8727560915618956,140.0,-5.4745392040484795,-3.239473684210523,-7.299385605397973
8B5C8532-FE81-4BFE-A14B-C21BDC771E7B,126,114.0,1.5746025994257493,0.09166666666666856,0.7873012997128747,118.0,-1.7739117076490056,-1.3611111111111143,-2.3652156101986734
D3649D92-F875-42FF-AD02-C724A940096C,95,90.0,6.205805497802245,2.1597222222222285,3.1029027489011227,90.0,-5.9153237458047885,-2.509803921568647,-7.887098327739717
4E70BF8E-058B-4EDE-9BF9-221BA58486EF,137,136.0,1.1126358380694985,-0.02255639097742801,0.5563179190347493,137.0,-5.6491025656736,-4.202614379084963,-7.532136754231466
1090A8AB-7FBC-42D6-A58C-9E513DCDF919,94,88.0,2.8740113025482015,0.9166666666666856,1.4370056512741007,88.0,-4.319797188428611,-3.1446428571428484,-5.759729584571482
1BFF6F09-86E5-4B71-B6B2-5B0B3442EC1C,71,66.0,0.8212969695919025,1.0908333333333218,0.41064848479595123,66.0,1.8539231114000458,-0.16785714285714448,2.471897481866727
2F6D74A6-9332-4C8D-8EF5-03620AC5C91C,103,101.0,7.3402579313314975,3.9022222222222354,3.6701289656657488,96.0,-6.355874257939516,-3.026718379659563,-8.474499010586023
680256AD-EDE8-424D-AE89-1494920351E3,86,81.0,2.2425456778219726,2.5555555555555713,1.1212728389109863,82.0,-5.418718349718509,-5.135265700483103,-7.224957799624677
E1210E53-775E-45B1-84DB-F460CE575F58,165,159.0,0.8821241272579732,-0.48611111111111427,0.4410620636289866,162.0,-3.0681965418907153,-2.7396135265700536,-4.090928722520954
F5B613B4-571F-4A95-B391-E14B99CCCFE9,127,121.0,6.697691743350252,6.634920634920661,3.348845871675126,120.0,-4.64823099092936,-4.627904040404033,-6.197641321239146
F94E0CF3-4F7F-4403-83EC-AEF347559513,107,103.0,2.6371966267095743,1.547826086956519,1.3185983133547872,101.0,-2.2745313343710585,-0.9583333333333144,-3.0327084458280784
EB582331-047F-42F2-BE4C-425D979F5D51,86,83.0,2.6540101044724693,1.875,1.3270050522362347,82.0,-2.892350138688699,-3.618357487922708,-3.856466851584932
1ABD20EF-DBA3-464E-BD91-4AEF6AFDD9CD,88,80.0,1.0158893367927901,0.49305555555555713,0.5079446683963951,83.0,-2.75017006646093,0.03499999999999659,-3.666893421947906
4942F1B8-FE12-45A6-95B2-DF7753255F13,4,0.0,,,,0.0,,,
BD9091A8-B443-4618-80DC-0687BFCE3022,102,91.0,10.782560542791076,10.206349206349188,5.391280271395538,92.0,-11.537935286393337,-8.571428571428584,-15.383913715191115
