week_start,sessions,total_distance_km,total_duration_min,mean_avg_hr,max_hr,mean_hrr_intensity,mean_sample_zone_depth,mean_active_zone_depth,total_active_zone_minutes,mean_active_zone_share,total_near_max_min,total_simple_hr_load,total_zone_weighted_load,total_combined_load,mean_load_per_km,mean_hr_efficiency_proxy,mean_pace_50_s,mean_hr_rise_bpm,mean_hr_rise_bpm_per_min,mean_hr_drop_bpm,mean_hr_drop_bpm_per_min,total_transition_events,load_4w_avg,hr_4w_avg,near_max_4w_avg
2024-12-30,6,28.552140762329103,891.0586004177729,147.15802903154557,194.0,0.5684966597981954,3.8215314386872357,4.708348641747373,634.2,0.7541109830783679,211.8665539820989,507.979792919485,3434.4983128969207,4493.831082807415,162.56750517424229,0.34092315343038454,50.02721978911273,1.6469348360137832,0.8234674180068916,-1.944717662381434,-2.5929568831752454,868,2770.4422016028825,149.79565970625964,114.00412010798853
2025-01-06,4,16.024860427856442,495.6696750322978,150.30921011261256,206.0,0.5908454617915784,3.8923293483484005,4.8315270404533415,333.31666666666666,0.7542549023335915,93.11638272603354,293.05340657152584,1932.153839209559,2397.735752839727,149.9466426883888,0.3314508775327544,49.44130725560312,2.9794006223978893,1.4897003111989446,-2.394609184475942,-3.1928122459679242,381,3031.4735838164497,149.3913008303366,122.59154295424621
2025-01-13,4,16.253460433959958,523.7306496322155,144.60678440246537,193.0,0.5504027262586196,3.537668297217971,4.663593974419359,323.6333333333333,0.6896430290772446,91.54987700184186,287.8485019322197,1849.2402576185855,2306.9896426277946,144.94316246929864,0.32425185301135245,46.91899946878957,0.5091263014963763,0.25456315074818814,-3.168469410045235,-4.224625880060313,375,2800.074189713391,147.8809122613684,119.46651220570008
2025-01-20,7,18.831620040893554,692.2948616325855,143.7310942178872,202.0,0.544192157573668,3.557128779536659,4.589654611883837,406.9166666666667,0.6974146875400643,97.26868598858515,352.01988195477264,2215.9875143768822,2702.330944319808,183.7486720606697,0.36769837828615454,53.32989414173862,4.1374383321643515,2.0687191660821758,-4.873301151547166,-6.497734868729556,544,2975.2218556486864,146.45127944112767,123.45037492463987
2025-01-27,5,16.093440429687497,546.1657298823197,136.8911030023624,195.0,0.49568158157703834,3.0556511846349097,4.08989965668952,303.8,0.6609213452965396,69.76653009255728,268.6630898696302,1661.5436682058717,2010.3763186686579,124.8842659511367,0.3357302563840398,45.753589137061546,0.30476016006942075,0.15238008003471037,-3.290099170048987,-4.38679889339865,503,2354.358164613997,143.8845479338319,87.92536895225446
2025-02-03,1,0.0,120.16042175094286,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0,1754.9242264040652,141.74299387423832,64.64627327074608
2025-02-10,6,22.014180587768553,800.5974978824456,132.06857828734232,194.0,0.4614792786336334,2.693619168270736,4.029347403492241,369.15,0.5599108313857869,81.64583331545194,367.7069222013392,2143.918043370996,2552.147209948256,126.96961321636844,0.40745715399547416,53.84587679648496,1.3255071347829568,0.6627535673914784,-2.8787181134804265,-3.8382908179739013,599,1816.2136182341806,137.56359183586397,62.17026234914859
2025-02-17,5,18.49374049377441,667.9854733665784,140.19865104237584,194.0,0.5191393690948641,3.354033296638929,4.504085585938405,379.3666666666667,0.6662797058748795,73.26663500070572,347.79936224353,2253.340746623539,2619.6739216270676,139.86355120621096,0.33630953861644397,46.86140764841648,2.06783169836162,1.03391584918081,-2.8567686742275358,-3.8090248989700477,538,1795.5493625609952,136.3861107773602,56.169749602178726
2025-02-24,5,16.162020431518556,604.1640813032786,142.19140864745623,195.0,0.5332724017550087,3.2430901410592603,4.137738772387079,381.31666666666666,0.716681990326447,72.64999999403953,322.6497795863189,1957.623585692112,2320.87358566231,149.97082521616935,0.35688067529012335,50.71834074473086,2.6778271756400343,1.3389135878200171,-4.398572660070655,-5.864763546760872,476,1873.1736793094083,138.1528793257248,56.890617077549294
2025-03-03,3,9.692640258789062,395.8288171509902,135.97626901185424,189.0,0.4891933972471933,2.8710070370939813,4.183782042415069,191.38333333333333,0.590194991274836,34.33333332538605,193.77349948339486,1143.2103988539118,1314.8770654808422,144.2455000290514,0.4346426411972934,59.35536844644826,4.132116108792883,2.0660580543964415,-7.17686773080344,-9.569156974404583,255,2201.892945679619,137.60872674725715,65.4739504088958
