workout_uuid,date,end_date,duration_sec,duration_min,swim_time_sec,rest_time_sec,distance_m,stroke_count,avg_hr,max_hr,min_hr,pool_length_m,location_type,stroke_style,pace_sec_per_100m,distance_per_stroke_m,strokes_per_100m,week_start,month,quarter_index
1A6D6769-FA01-4DD2-AD1D-54AAF0C7DCBB,2024-05-31 23:13:14+00:00,2024-06-01T01:20:43Z,7648.4282549619675,127.47380424936613,2524.3424648046494,5124.085790157318,2857.5000762939453,876.0001794550541,,,,22.86,,,88.34094129154366,3.2619857202216,30.656173440638668,2024-05-27,2024-05,Q1
DE5385A3-BE3B-45D5-8B92-48B4D224193C,2024-06-01 14:53:02+00:00,2024-06-01T17:16:20Z,8598.736703038216,143.31227838397027,3521.359308362007,5077.3773946762085,1828.800048828125,1374.0002007819817,,,,22.86,,,192.5502632514941,1.3310042078504094,75.13124256872291,2024-05-27,2024-06,Q1
F8140883-575E-4450-8A6B-18616C596677,2024-06-03 23:34:41+00:00,2024-06-04T01:42:36Z,7675.364194989204,127.92273658315341,3442.2826434373856,4233.081551551819,3520.4400939941406,1222.0181765286306,,,,22.86,,,97.77989545426176,2.880841023162686,34.71208553195919,2024-06-03,2024-06,Q1
BF85CBAD-FAB3-4C60-9DE9-1935ECA1B83F,2024-06-04 23:43:21+00:00,2024-06-05T01:23:17Z,5996.203259944916,99.93672099908193,2603.8002237081528,3392.403036236763,2857.5000762939453,1029.00052078231,,,,22.86,,,91.12161519467638,2.7769665987355343,36.01051595130242,2024-06-03,2024-06,Q1
7A307137-8F31-411D-8322-BFFD598BE301,2024-06-05 23:14:48+00:00,2024-06-06T01:13:19Z,7110.850214958191,118.51417024930318,3263.8051426410675,3847.0450723171234,3154.6800842285156,1078.000325738262,,,,22.86,,,103.45914817030453,2.926418488851617,34.171462619224336,2024-06-03,2024-06,Q1
15A0A90B-58AE-431D-A25E-6784A25DF0FE,2024-06-06 01:15:06+00:00,2024-06-06T01:17:24Z,137.64383745193481,2.294063957532247,137.64383745193481,0.0,0.0,,,,,22.86,,,inf,,,2024-06-03,2024-06,Q1
1FF97046-833A-42FD-9927-1DAEA857F290,2024-06-06 23:15:50+00:00,2024-06-07T00:53:24Z,5854.741953015327,97.57903255025546,2104.4787703752518,3750.2631826400757,2446.020065307617,831.0024147292523,,,,22.86,,,86.03685637021084,2.9434572294288115,33.97365485735472,2024-06-03,2024-06,Q1
25BF630B-2E26-48CB-97A4-F155E7D17C3E,2024-06-11 13:50:02+00:00,2024-06-11T16:25:17Z,9314.353752970695,155.23922921617824,3371.686017870903,5942.6677350997925,2080.260055541992,1345.0010404887319,,,,22.86,,,162.0800249895892,1.5466605548394892,64.6554279069837,2024-06-10,2024-06,Q1
0E6B124E-C7EF-4F43-8F89-53374DDE7660,2024-06-12 13:54:05+00:00,2024-06-12T16:23:47Z,8981.674659967422,149.6945776661237,3685.0402052402496,5296.634454727173,5000.0,1479.00051500672,,,,50.0,,,73.700804104805,3.3806614326819773,29.5800103001344,2024-06-10,2024-06,Q1
4091B9C5-6744-4D32-8656-F8C06930F01A,2024-06-13 00:10:19+00:00,2024-06-13T01:52:19Z,6120.214379429817,102.00357299049695,1985.7181290388107,4134.4962503910065,891.5400238037109,397.00048549728047,,,,22.86,,,222.72899432678787,2.2456900088849343,44.529743466086664,2024-06-10,2024-06,Q1
D6B39230-5794-4B8A-A220-E64F9A34B59C,2024-06-13 13:55:39+00:00,2024-06-13T16:17:26Z,8507.08669102192,141.78477818369865,4187.956162452698,4319.1305285692215,5150.0,2040.0056128848498,,,,50.0,,,81.31953713500384,2.5245028579687037,39.61175947349223,2024-06-10,2024-06,Q1
62D3A707-1338-4224-B194-28DC4EF9EC85,2024-06-14 13:53:56+00:00,2024-06-14T16:33:07Z,9551.053379058838,159.18422298431398,4010.480356693268,5540.57302236557,5200.0,1462.000100720934,,,,50.0,,,77.1246222441013,3.556771300792526,28.11538655232565,2024-06-10,2024-06,Q1
F3AF9523-A60B-40E7-B58C-0755167AA7A1,2024-06-15 13:52:13+00:00,2024-06-15T16:11:50Z,8377.768016934395,139.62946694890658,3494.63906621933,4883.128950715065,4500.0,1539.000081632242,,,,50.0,,,77.6586459159851,2.923976453092428,34.20000181404983,2024-06-10,2024-06,Q1
F28CA950-2077-4ECD-8AF0-3F478A58F949,2024-06-17 13:50:24+00:00,2024-06-17T16:26:18Z,9354.651827931404,155.91086379885672,3981.051906466484,5373.59992146492,5300.0,1629.0,,,,50.0,,,75.11418691446197,3.2535297728667896,30.735849056603776,2024-06-17,2024-06,Q1
4914DEDC-4E03-446A-BBC9-4DA779F221F5,2024-06-18 13:52:10+00:00,2024-06-18T16:26:34Z,9264.874419093132,154.4145736515522,3795.667627930641,5469.206791162491,4400.0,1176.0026281456833,,,,50.0,,,86.26517336206003,3.7414882370951026,26.72733245785644,2024-06-17,2024-06,Q1
A02A4A12-D2AD-4B5B-A978-F17BFAB17EB5,2024-06-19 13:53:08+00:00,2024-06-19T16:28:09Z,9301.21463894844,155.020243982474,4264.302445888519,5036.912193059921,4250.0,1632.000213948856,,,,50.0,,,100.3365281385534,2.6041663252705844,38.400005034090725,2024-06-17,2024-06,Q1
1779DA41-6C6A-4DAF-B81F-C7A0CB224486,2024-06-20 00:04:03+00:00,2024-06-20T02:18:02Z,8039.529083013535,133.9921513835589,2320.1180552244186,5719.411027789116,1645.9200439453125,803.0001437460012,,,,22.86,,,140.96177173120975,2.049713261901902,48.78731179560759,2024-06-17,2024-06,Q1
155AE422-BEC7-432D-8443-953169781B5A,2024-06-20 13:55:12+00:00,2024-06-20T16:30:31Z,9318.484207034111,155.3080701172352,4176.309186697006,5142.175020337105,4550.0,1461.0006456193312,,,,50.0,,,91.7870150922419,3.11430389414456,32.10990429932596,2024-06-17,2024-06,Q1
3B9E392B-429C-4CB1-A959-EDF742EAA6F3,2024-06-21 13:56:11+00:00,2024-06-21T16:23:57Z,8866.035929083824,147.76726548473042,3468.67866563797,5397.357263445854,4900.0,1693.0019994175395,,,,50.0,,,70.78936052322388,2.8942671075910105,34.551061212602846,2024-06-17,2024-06,Q1
2A19419F-E2EA-477B-AA31-12B4B4AB266E,2024-06-24 13:53:54+00:00,2024-06-24T16:24:45Z,9050.956190943718,150.84926984906195,5419.903778553009,3631.052412390709,5450.0,1437.0686796887644,,,,50.0,,,99.44777575326623,3.7924422660024453,26.368232654839712,2024-06-24,2024-06,Q1
986F0F85-717E-4B68-B7B2-9E5C31102C5A,2024-06-25 13:56:15+00:00,2024-06-25T16:35:43Z,9567.816450953484,159.4636075158914,4269.610298633575,5298.206152319908,4750.0,1394.0006784286857,,,,50.0,,,89.88653260281212,3.407458886859502,29.347382703761802,2024-06-24,2024-06,Q1
22BFE5A3-196E-4085-A16B-EF5CC0D21E19,2024-06-26 13:54:07+00:00,2024-06-26T16:17:41Z,8613.73243200779,143.56220720012982,5111.535672545433,3502.1967594623566,5250.0,1567.0000309349205,,,,50.0,,,97.36258423896062,3.3503509230103132,29.847619636855626,2024-06-24,2024-06,Q1
FDA95D73-4A29-4E56-ADC7-C6286F489A04,2024-06-27 00:05:26+00:00,2024-06-27T02:10:22Z,7496.490635037422,124.94151058395704,2222.1909699440002,5274.299665093422,1325.8800354003906,611.0000120145984,,,,22.86,,,167.60120905455378,2.1700163818797304,46.08260141952344,2024-06-24,2024-06,Q1
49EC91B1-F493-4D30-A113-224771989623,2024-06-27 13:55:23+00:00,2024-06-27T16:23:49Z,8906.190516114235,148.4365086019039,4500.46776175499,4405.722754359245,5050.0,1857.0002878419732,,,,50.0,,,89.1181735000988,2.719439535396423,36.77228292756383,2024-06-24,2024-06,Q1
C7EC0DDC-0A46-4874-95D7-FE2AD52A9A90,2024-06-28 13:54:15+00:00,2024-06-28T16:21:15Z,8819.32219696045,146.98870328267415,3589.7558339834213,5229.566362977028,4800.0,1526.0000206931131,,,,50.0,,,74.7865798746546,3.1454783321823467,31.791667097773193,2024-06-24,2024-06,Q1
EF8C2AEC-5D0A-45EF-B223-90B0830642A6,2024-06-30 23:11:38+00:00,2024-07-01T02:36:52Z,12314.17157304287,205.23619288404782,3022.105582356453,9292.065990686417,1691.6400451660156,893.0001159042384,,,,22.86,,,178.6494467893651,1.89433351131549,52.78901492407036,2024-06-24,2024-06,Q1
7C707B5C-8F24-441D-80A1-E19C71485904,2024-07-01 13:55:46+00:00,2024-07-01T16:29:03Z,9196.164947032928,153.26941578388215,4815.994223952293,4380.170723080635,4700.0,1496.0008659792786,,,,50.0,,,102.46796221175092,3.141709411326705,31.829805659133587,2024-07-01,2024-07,Q1
18C066F7-3EFE-49E2-805D-6CA80002AE1E,2024-07-02 14:08:12+00:00,2024-07-02T16:16:44Z,7711.791127920151,128.5298521320025,3826.3707060813904,3885.4204218387604,5750.0,1524.0021417190546,,,,50.0,,,66.54557749706765,3.7729605770199734,26.504385073374863,2024-07-01,2024-07,Q1
D09F7102-2A32-4F31-9F26-F33403679ACA,2024-07-03 13:59:09+00:00,2024-07-03T16:33:09Z,9240.338183045387,154.0056363840898,3268.5392191410065,5971.798963904381,4850.0,1307.0013196899329,,,,50.0,,,67.3925612194022,3.7107843174562305,26.94848081834913,2024-07-01,2024-07,Q1
