week_start,sessions,total_distance_km,total_duration_min,mean_avg_hr,max_hr,mean_hrr_intensity,mean_sample_zone_depth,mean_active_zone_depth,total_active_zone_minutes,mean_active_zone_share,total_near_max_min,total_simple_hr_load,total_zone_weighted_load,total_combined_load,mean_load_per_km,mean_hr_efficiency_proxy,mean_pace_50_s,mean_hr_rise_bpm,mean_hr_rise_bpm_per_min,mean_hr_drop_bpm,mean_hr_drop_bpm_per_min,total_transition_events,load_4w_avg,hr_4w_avg,near_max_4w_avg,load_delta,load_pct_change,acute_load_2w,chronic_load_6w,acute_chronic_ratio,near_max_share,load_per_hour,high_intensity_week,high_load_week,low_load_week,load_phase,phase_with_intensity,previous_phase,phase_transition
2024-05-27,2,4.68630012512207,270.7860826333364,141.03388850335415,195.0,0.5250630390308806,3.107868051754255,4.10512285095988,181.01666666666665,0.6782416097783975,26.98319473663966,142.4909370047303,845.0585928392222,979.9745665224204,224.7124347523466,0.4944768118806728,70.22280113575944,4.526854629875516,2.2634273149377577,-2.101815977705852,-2.802421303607803,196,979.9745665224204,141.03388850335415,26.98319473663966,,,979.9745665224204,,,0.09964764242768276,217.13994094357702,False,False,True,recovery,recovery,,start -> recovery
2024-06-03,5,11.978640319824216,446.2467243393262,143.94129121536844,193.0,0.5456829164210527,3.454145364204908,4.68170903454894,291.33333333333337,0.6699769617823637,92.74984470804532,242.61703002222256,1536.8088530768305,2000.5580766170567,165.93440915273297,0.3284366312008467,47.29968939868169,3.910412757659139,1.9552063788295695,-4.284491365786819,-5.712655154382426,332,1490.266321569739,142.4875898593613,59.866519722342495,1020.5835100946363,104.14387729635908,1490.2663215697385,1490.2663215697385,1.0,0.20784431492547673,268.9845729954309,False,False,False,mixed,mixed,recovery,recovery -> mixed
2024-06-10,6,22.821800079345703,847.5358479897181,140.42011590029998,208.0,0.520710041846099,3.1746961064177,4.209617811736816,559.6166666666667,0.6777504426139437,117.32080900669098,442.3675354703368,2717.057662681323,3303.661707714778,194.3210704344624,0.414918337484727,57.88438572635602,4.120350511658889,2.0601752558294444,-3.786240795494583,-5.048321060659443,773,2094.731450284752,141.79843187300753,79.017949483792,1303.1036310977213,65.13700583495527,2652.1098921659177,2094.7314502847516,1.2660858707236184,0.13842577784168753,233.87766185117326,False,True,False,loading,loading,mixed,mixed -> loading
2024-06-17,6,25.045920043945312,902.4131684184074,142.2464291844971,198.0,0.5336626183297667,3.4006391422485858,4.345768400304267,628.9,0.7127803826807059,97.1748450756073,482.66131553611,3081.2480762813225,3567.122301659359,154.65285085148028,0.3337329217331026,47.10450298014592,5.069336286353908,2.534668143176954,-4.624035817536956,-6.165381090049273,783,2462.829163128404,141.9104312008799,83.55717338174581,263.460593944581,7.974805450852984,3435.3920046870685,2462.8291631284037,1.394896591334524,0.10768331899003472,237.17222397659754,False,True,False,loading,loading,loading,loading -> loading
2024-06-24,7,28.317520080566403,1079.477999917666,139.42911890205684,200.0,0.5136816943408288,3.15604037066058,4.2314990846078775,701.45,0.6596275308091801,135.5893369078636,556.8773266102557,3433.782617246622,4111.72930178594,191.7249430672184,0.4118846250267908,56.91802155812224,5.627256667854086,2.813628333927043,-4.615818070645406,-6.154424094193876,835,3245.7678469442835,141.50923880055558,110.7087089245518,544.6070001265812,15.267404761346137,3839.42580172265,2792.609190859911,1.3748525265507698,0.12560639208784735,228.5398666077243,False,True,False,loading,loading,loading,loading -> loading
2024-07-01,5,23.6,719.8056507349014,146.85647466537174,205.0,0.5663579763501541,3.675514376633481,4.544918730283685,527.35,0.7474204149265333,85.68332825303078,406.2017150421429,2631.1117878933937,3059.528429158548,132.84406644946867,0.2831618750349237,41.68968744041801,4.217453090766589,2.1087265453832944,-4.953514072970325,-6.604685430627102,657,3510.5104350796564,142.2380346630564,108.94207981079816,-1052.200872627392,-25.590227259619592,3585.628865472245,2837.09573057635,1.2638378137292645,0.11903675410932174,255.029542435644,False,True,False,mixed,mixed,loading,loading -> mixed
2024-07-08,3,10.74456005859375,395.0008215506872,148.51352479320872,200.0,0.5781101049163739,3.795575776610796,4.621210637859302,301.6333333333333,0.771751220962114,54.233320605754855,228.57671033568076,1499.466695904629,1770.6332989334032,179.73937210555596,0.3071212406092331,45.43480854612539,3.887527291658359,1.9437636458291796,-6.03023980376987,-8.040319738359827,324,3127.2533328843124,144.26138688628362,93.17020771056414,-1288.8951302251448,-42.1272480406278,2415.0808640459754,2968.8721859781813,0.8134674424356388,0.13729926027203349,268.95639740428123,False,False,False,unloading,unloading,mixed,mixed -> unloading
2024-07-15,3,10.40130027770996,414.7405689020952,137.66327381488034,187.0,0.5011579703183004,3.210511296373756,4.324071333678867,268.55,0.6587369252409125,39.28325183590253,207.8198684765446,1332.7066620536032,1529.122921233116,146.37863283892707,0.3918437663565894,53.86903023301043,1.819847980260218,0.909923990130109,-1.9096678607012136,-2.5462238142682847,357,2617.753487777752,143.1155980438794,78.69730940063795,-241.51037770028734,-13.639773850732883,1649.8781100832596,2890.299660080857,0.5708328907450045,0.0947176494932567,221.21630280071562,False,False,True,recovery,recovery,unloading,unloading -> recovery
2024-07-22,5,14.424660385131835,682.9032264490922,137.28123493414188,191.0,0.498448474710226,2.9635769695140035,4.084871800507967,424.1166666666667,0.6357832042754962,71.84997036059697,338.707047161716,2018.6323106314064,2377.882162434391,172.49850522104515,0.4342910915398967,59.20682255819335,3.918209397764096,1.959104698882048,-3.53881186114075,-4.718415814854335,525,2184.2917029398645,142.57862705190067,62.76246776382128,848.759241201275,55.50627941126003,1953.5025418337534,2736.003069200793,0.7139986660922811,0.1052125214493376,208.9211534230453,False,False,False,mixed,mixed,recovery,recovery -> mixed
2024-07-29,2,0.6446759185791,95.07747419675192,115.41152398334567,174.0,0.3433441417258559,1.523454602436519,2.7154041733864336,23.55,0.2419404207026806,4.075,33.35243151326944,148.23223264614356,168.60723264614353,252.6642143540603,4.066514179125967,454.1208251325239,,,,,1,1461.5614038117633,134.71738938139416,42.36038570056358,-2209.2749297882474,-92.90935289772604,1273.2446975402672,2169.5838910319235,0.5868612422885714,0.042859783922817044,106.40200577724448,False,False,True,recovery,recovery,mixed,mixed -> recovery
