id,hr_sample_zone_seconds,avg_sample_zone_depth,avg_active_zone_depth,avg_rest_zone_depth,active_zone_minutes,rest_or_low_zone_minutes,active_zone_share,rest_or_low_zone_share,dominant_sample_zone,sample_z1_minutes,sample_z1_share,sample_z2_minutes,sample_z2_share,sample_z3_minutes,sample_z3_share,sample_z4_minutes,sample_z4_share,sample_z5_minutes,sample_z5_share,sample_z6_minutes,sample_z6_share
9D87641F-2BB8-40A6-8F40-DAAAC2C6EB15,7576.0,2.4503695881731784,3.6793465008534505,1.0,68.35,57.916666666666664,0.5413146779303062,0.45868532206969376,z1,57.916666666666664,0.45868532206969376,14.766666666666667,0.11694825765575502,18.7,0.14809926082365366,15.033333333333333,0.11906019007391763,13.383333333333333,0.10599260823653643,6.466666666666667,0.051214361140443504
BD3DB5FA-70B0-47E1-A2A6-2BD8444D80B3,7194.0,3.259243814289686,4.224801587301587,1.0,84.0,35.9,0.700583819849875,0.2994161801501251,z1,35.9,0.2994161801501251,15.733333333333333,0.13122046149569086,14.916666666666666,0.12440922991381707,11.0,0.09174311926605505,19.433333333333334,0.1620795107033639,22.916666666666668,0.191131498470948
D2A76A13-D33B-4528-BA1B-B88B4AB168DB,9102.0,3.5113161942430233,4.372381233402184,1.0,112.96666666666667,38.733333333333334,0.7446715007690617,0.25532849923093826,z6,38.733333333333334,0.25532849923093826,18.483333333333334,0.12184135354867062,18.433333333333334,0.12151175565809712,17.466666666666665,0.11513952977367611,19.7,0.12986156888595912,38.88333333333333,0.25631729290265876
2C3444E8-5EC6-4312-812C-ED6C3995FF10,7769.0,3.559917621315485,4.483012259194396,1.0,95.16666666666667,34.31666666666667,0.7349723259106706,0.26502767408932937,z6,34.31666666666667,0.26502767408932937,15.45,0.1193203758527481,14.516666666666667,0.11211224095765221,11.75,0.09074526966147509,15.516666666666667,0.11983524263096923,37.93333333333333,0.29295919680782595
4ABB7AF2-FB62-4109-8C97-50B01EE32488,6991.0,3.290087255042197,4.346571906354515,1.0,79.73333333333333,36.78333333333333,0.6843083965097984,0.3156916034902017,z1,36.78333333333333,0.3156916034902017,15.766666666666667,0.13531683593191246,12.533333333333333,0.10756687169217566,8.233333333333333,0.07066228007438134,14.7,0.12616220855385496,28.5,0.2446002002574739
4DC6E959-F624-4768-A0F3-6BE9DDE6541D,9327.0,2.7063364425860406,4.048266615590883,1.0,87.01666666666667,68.43333333333334,0.559772702905543,0.44022729709445696,z1,68.43333333333334,0.44022729709445696,19.366666666666667,0.1245845395089525,16.7,0.10743004181408813,13.25,0.08523641042135735,15.766666666666667,0.1014259676208856,21.933333333333334,0.14109574354025947
F3D4F5CF-11E2-4138-9E12-0F6EC42B5ACB,8309.0,2.5172704296545914,4.350252458145097,1.0,62.71666666666667,75.76666666666667,0.45288241665663737,0.5471175833433626,z1,75.76666666666667,0.5471175833433626,10.833333333333334,0.07822842700686003,9.316666666666666,0.06727644722589962,7.233333333333333,0.05223251895534962,17.716666666666665,0.12793356601275724,17.616666666666667,0.12721145745577084
D1B1FAD8-59A4-4671-8480-305CDF4FC8FF,7895.0,3.0672577580747307,4.0455308826273555,1.0,89.31666666666666,42.266666666666666,0.6787840405319823,0.32121595946801773,z1,42.266666666666666,0.32121595946801773,18.066666666666666,0.13730208993033566,17.333333333333332,0.1317289423685877,17.133333333333333,0.13020899303356553,16.033333333333335,0.12184927169094363,20.75,0.15769474350854973
8B5C8532-FE81-4BFE-A14B-C21BDC771E7B,18878.0,2.0899459688526325,4.319780574378832,1.0,103.3,211.33333333333334,0.3283186778260409,0.6716813221739591,z1,211.33333333333334,0.6716813221739591,15.866666666666667,0.050429070876152136,18.766666666666666,0.05964614895645725,12.183333333333334,0.038722322279902535,29.433333333333334,0.09354804534378641,27.05,0.08597309036974256
D3649D92-F875-42FF-AD02-C724A940096C,10232.0,3.0289288506645815,4.121335137573297,1.0,110.85,59.68333333333333,0.6500195465207194,0.3499804534792807,z1,59.68333333333333,0.3499804534792807,19.383333333333333,0.11366301798279906,25.45,0.14923768569194684,16.466666666666665,0.0965598123534011,21.433333333333334,0.1256841282251759,28.116666666666667,0.1648749022673964
4E70BF8E-058B-4EDE-9BF9-221BA58486EF,7714.0,3.0246305418719213,3.9181614349775784,1.0,89.2,39.36666666666667,0.6938034742027482,0.30619652579725176,z1,39.36666666666667,0.30619652579725176,19.15,0.14894996110967074,21.1,0.16411718952553797,14.783333333333333,0.11498574021260047,16.233333333333334,0.12626393570132227,17.933333333333334,0.1394866476536168
1090A8AB-7FBC-42D6-A58C-9E513DCDF919,7782.0,2.9712156258031355,3.8276497695852534,1.0,90.41666666666667,39.28333333333333,0.6971215625803135,0.30287843741968645,z1,39.28333333333333,0.30287843741968645,20.0,0.15420200462606015,24.133333333333333,0.1860704189154459,14.533333333333333,0.11205345669493703,14.95,0.11526599845797995,16.8,0.1295296838858905
1BFF6F09-86E5-4B71-B6B2-5B0B3442EC1C,5618.0,3.2652189391242437,4.444113667117727,1.0,61.583333333333336,32.05,0.6577073691705233,0.3422926308294767,z1,32.05,0.3422926308294767,8.583333333333334,0.09166963332146671,10.116666666666667,0.10804556781772873,7.466666666666667,0.0797436810252759,16.2,0.17301530793876824,19.216666666666665,0.20523317906728372
