avg_hr,date,density,distance_km,distance_m,duration_min,duration_s,end,heart_rate_samples,hr90_min,hr90_ratio,hr90_s,id,iso_week,max_hr,min_hr,pace_50_s,pool_length_m,rest_ratio,rest_time_min,rest_time_s,simple_hr_load,split_count,start,swim_time_min,swim_time_s,weekday,year,week_start,athlete_age_years,age_pred_hr_max_fox,age_pred_hr_max_tanaka,avg_pct_observed_max,avg_pct_age_max_fox,avg_pct_age_max_tanaka,avg_hrr_intensity_age_fox,avg_lthr_ratio,zone_pct_observed_max,zone_pct_age_max_fox,zone_pct_age_max_tanaka,zone_hrr_age_fox,zone_lthr_proxy,hr_sample_zone_seconds,avg_sample_zone_depth,avg_active_zone_depth,avg_rest_zone_depth,active_zone_minutes,rest_or_low_zone_minutes,active_zone_share,rest_or_low_zone_share,dominant_sample_zone,sample_z1_minutes,sample_z1_share,sample_z2_minutes,sample_z2_share,sample_z3_minutes,sample_z3_share,sample_z4_minutes,sample_z4_share,sample_z5_minutes,sample_z5_share,sample_z6_minutes,sample_z6_share,avg_hrr_intensity,avg_hr_zone,avg_zone_weight,zone_depth_weight,near_max_min,near_max_ratio,simple_hr_load_v2,zone_weighted_load,near_max_load,combined_load,load_per_km,hr_efficiency_proxy,transition_count,hr_rise_events,avg_hr_rise_bpm,median_hr_rise_bpm,avg_hr_rise_bpm_per_min,hr_drop_events,avg_hr_drop_bpm,median_hr_drop_bpm,avg_hr_drop_bpm_per_min
138.26370575988898,2024-05-31,0.33004721763153905,2.8575000762939453,2857.5000762939453,127.47380424936613,7648.4282549619675,2024-06-01T01:20:43+00:00,1441,14.199936244885127,0.337512119124867,851.9961746931076,1A6D6769-FA01-4DD2-AD1D-54AAF0C7DCBB,22,185.0,89.0,44.17047064577183,22.86,0.66995278236846,85.4014298359553,5124.085790157318,395.08854975756634,57,2024-05-31 23:13:14+00:00,42.07237441341082,2524.3424648046494,Friday,2024,2024-05-27,15.000992491290033,204.99900750870998,197.499305256097,0.6647293546148508,0.6744603666142844,0.7000718588888335,0.5164073789109758,0.9045512303032348,z2_60_70,z2_60_70,z3_70_80,z1_under_60,lthr_z3_90_95,7614.0,2.887444181770423,4.076643117105545,1.0,77.85,49.05,0.6134751773049646,0.38652482269503546,z1,49.05,0.38652482269503546,14.666666666666666,0.11557656947727869,16.333333333333332,0.1287102705542422,13.083333333333334,0.10309955345416338,15.9,0.12529550827423167,17.866666666666667,0.14079327554504859,0.505416352907014,z3,3.0,2.887444181770423,14.199936244885127,0.33751211912486717,64.42734523489726,368.07349440797407,70.99968122442563,439.0731756323997,153.65640031823156,0.3194654041927604,77,76.0,2.5127701224231096,1.4444444444444429,1.2563850612115548,77.0,-0.8511150934202889,-0.5449999999999875,-1.1348201245603857
143.80407124681935,2024-06-01,0.409520541211338,1.828800048828125,1828.800048828125,143.31227838397027,8598.736703038216,2024-06-01T17:16:20+00:00,1572,12.783258491754532,0.21781233959395202,766.9955095052719,DE5385A3-BE3B-45D5-8B92-48B4D224193C,22,195.0,99.0,96.27513162574705,22.86,0.590479458788661,84.6229565779368,5077.3773946762085,262.9888925178664,36,2024-06-01 14:53:02+00:00,58.689321806033455,3521.359308362007,Saturday,2024,2024-05-27,15.003730398297021,204.99626960170298,197.4973887211921,0.6913657271481699,0.7014960395436616,0.7281315068414812,0.5565662859474249,0.9407975061425037,z2_60_70,z3_70_80,z3_70_80,z1_under_60,lthr_z3_90_95,8331.0,3.328291921738087,4.133602584814216,1.0,103.16666666666667,35.68333333333333,0.7430080422518305,0.25699195774816946,z1,35.68333333333333,0.25699195774816946,22.933333333333334,0.16516624654903372,20.433333333333334,0.1471612051374385,11.183333333333334,0.08054255191453608,17.15,0.12351458408354339,31.466666666666665,0.22662345456727884,0.5447097251547471,z3,3.0,3.328291921738087,12.783258491754532,0.2178123395939527,78.06359176983305,476.9850984312481,63.91629245877266,540.9013908900208,295.76846918646163,0.6694882195685852,119,116.0,6.540939137327922,3.275362318840564,3.270469568663961,114.0,-3.352516861991415,-1.3214492753623261,-4.470022482655221
144.7037037037037,2024-06-03,0.448484600337877,3.5204400939941403,3520.4400939941406,127.92273658315341,7675.364194989204,2024-06-04T01:42:36+00:00,1431,35.63344575961431,0.6211014512863741,2138.0067455768585,F8140883-575E-4450-8A6B-18616C596677,23,191.0,71.0,48.88994772713088,22.86,0.551515399662122,70.55135919253031,4233.081551551819,509.4207202679669,70,2024-06-03 23:34:41+00:00,57.371377390623095,3442.2826434373856,Monday,2024,2024-06-03,15.009206212310998,204.990793787689,197.4935556513823,0.6956908831908831,0.7059034263439887,0.73270088852487,0.5631078825682944,0.9466830973120957,z2_60_70,z3_70_80,z3_70_80,z1_under_60,lthr_z3_90_95,7514.0,3.53673143465531,5.0255543822597675,1.0,78.91666666666667,46.31666666666667,0.6301570401916423,0.36984295980835774,z6,46.31666666666667,0.36984295980835774,8.816666666666666,0.07040191642267767,7.25,0.05789193505456481,5.7,0.04551503859462337,8.483333333333333,0.0677402182592494,48.666666666666664,0.388607931860527,0.551090097189388,z3,3.0,3.53673143465531,35.63344575961431,0.6211014512863747,70.49695333634249,452.42836368076945,178.16722879807156,630.595592478841,179.12407984292506,0.33786244909970153,61,60.0,5.364052736313604,2.854166666666657,2.682026368156802,57.0,-5.54981942132873,-4.0,-7.399759228438306
144.0426944971537,2024-06-04,0.43424148762630005,2.8575000762939453,2857.5000762939453,99.93672099908193,5996.203259944916,2024-06-05T01:23:17+00:00,1054,28.049965020020803,0.6463621463264331,1682.9979012012482,BF85CBAD-FAB3-4C60-9DE9-1935ECA1B83F,23,182.0,82.0,45.56080759733819,22.86,0.565758512373699,56.54005060394605,3392.403036236763,411.60201051520215,57,2024-06-04 23:43:21+00:00,43.39667039513588,2603.8002237081528,Tuesday,2024,2024-06-03,15.011944119317986,204.98805588068203,197.49163911647742,0.6925129543132389,0.7026882316548093,0.7293609751863956,0.5583287191448827,0.9423586313378874,z2_60_70,z3_70_80,z3_70_80,z1_under_60,lthr_z3_90_95,5847.0,3.3914828116983067,4.808006535947713,1.0,61.2,36.25,0.6280143663417137,0.3719856336582863,z1,36.25,0.3719856336582863,6.216666666666667,0.0637933983239268,9.683333333333334,0.09936719685308705,3.1666666666666665,0.03249529673336754,12.7,0.13032324268855824,29.433333333333334,0.3020352317427741,0.5464020886322957,z3,3.0,3.3914828116983067,28.049965020020803,0.6463621463264331,54.60563308496137,338.9336715258756,140.249825100104,479.1834966259796,167.6932576839893,0.31630071734209664,99,98.0,3.6089103717606195,-0.2050000000000125,1.8044551858803097,99.0,-4.980029909260104,-1.8333333333333428,-6.640039879013472
145.24707716289944,2024-06-05,0.45898943782776,3.154680084228515,3154.6800842285156,118.51417024930318,7110.850214958191,2024-06-06T01:13:19+00:00,1283,19.933100591103237,0.36643916630954304,1195.9860354661942,7A307137-8F31-411D-8322-BFFD598BE301,23,183.0,80.0,51.729574085152265,22.86,0.5410105621722391,64.11741787195206,3847.0450723171234,458.2080616182013,63,2024-06-05 23:14:48+00:00,54.39675237735113,3263.8051426410675,Wednesday,2024,2024-06-03,15.014682026324975,204.98531797367502,197.48972258157252,0.6983032555908627,0.7085730753729036,0.735466510683388,0.5670681367551547,0.9502379646457052,z2_60_70,z3_70_80,z3_70_80,z1_under_60,lthr_z4_95_100,6913.0,3.500650947490236,4.312320367886568,1.0,86.98333333333333,28.233333333333334,0.7549544336756835,0.2450455663243165,z1,28.233333333333334,0.2450455663243165,12.25,0.10632142340517865,16.75,0.14537827281932592,12.766666666666667,0.11080572833791408,22.016666666666666,0.1910892521336612,23.2,0.20135975697960365,0.5549438096659535,z4,4.0,3.500650947490236,19.933100591103237,0.3664391663095437,65.76870513754771,414.87674237424227,99.66550295551619,514.5422453297584,163.10441363045248,0.3561488127374558,98,95.0,5.338062874363458,5.263888888888886,2.669031437181729,98.0,-4.129467868148636,-4.2350622934146855,-5.505957157531516
,2024-06-06,1.0,0.0,0.0,2.294063957532247,137.64383745193481,2024-06-06T01:17:24+00:00,0,0.0,0.0,0.0,15A0A90B-58AE-431D-A25E-6784A25DF0FE,23,,,,22.86,0.0,0.0,0.0,,0,2024-06-06 01:15:06+00:00,2.294063957532247,137.64383745193481,Thursday,2024,2024-06-03,15.017419933331965,204.98258006666805,197.48780604666763,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,0,,,,,,,,
141.7716894977169,2024-06-06,0.35944859521800004,2.446020065307617,2446.020065307617,97.57903255025546,5854.741953015327,2024-06-07T00:53:24+00:00,1095,9.133333337306976,0.26039701989519404,548.0000002384186,1FF97046-833A-42FD-9927-1DAEA857F290,23,193.0,73.0,43.01842818510542,22.86,0.640551404781999,62.5043863773346,3750.2631826400757,346.77639720397667,48,2024-06-06 23:15:50+00:00,35.074646172920865,2104.4787703752518,Thursday,2024,2024-06-03,15.017419933331965,204.98258006666805,197.48780604666763,0.6815946610467158,0.6916279883471435,0.7178756619748732,0.5418922407566955,0.9275012227723107,z2_60_70,z2_60_70,z3_70_80,z1_under_60,lthr_z3_90_95,5780.0,3.3877162629757787,4.580954852101713,1.0,64.23333333333333,32.1,0.6667820069204152,0.3332179930795848,z1,32.1,0.3332179930795848,7.616666666666666,0.07906574394463668,10.3,0.1069204152249135,8.883333333333333,0.09221453287197232,12.016666666666667,0.12474048442906574,25.416666666666668,0.263840830449827,0.5302956701965738,z3,3.0,3.3877162629757787,9.133333337306976,0.2603970198951943,51.745738463371005,330.5700754959433,45.66666668653488,376.23674218247817,153.81588545356507,0.3034345456241332,74,73.0,1.330625048198877,1.6190476190476204,0.6653125240994385,74.0,-2.4786482644098067,0.375,-3.3048643525464083
141.54186320754718,2024-06-11,0.361988185900234,2.080260055541992,2080.260055541992,155.23922921617824,9314.353752970695,2024-06-11T16:25:17+00:00,1696,21.53333332935969,0.38319107796918506,1291.9999997615814,25BF630B-2E26-48CB-97A4-F155E7D17C3E,24,185.0,85.0,81.0400124947946,22.86,0.638011814099765,99.0444622516632,5942.6677350997925,294.44388421764916,41,2024-06-11 13:50:02+00:00,56.19476696451505,3371.686017870903,Tuesday,2024,2024-06-10,15.031109468366907,204.9688905316331,197.47822337214316,0.6804897269593615,0.6905529070310445,0.7167466913089187,0.5402802249138653,0.9259976492033362,z2_60_70,z2_60_70,z3_70_80,z1_under_60,lthr_z3_90_95,9011.0,3.2828764842969704,4.241058767921853,1.0,105.78333333333333,44.4,0.704361336144712,0.295638663855288,z1,44.4,0.295638663855288,18.65,0.12418155587615137,19.366666666666667,0.12895350127621796,16.466666666666665,0.1096437687271113,20.433333333333334,0.13605593163910776,30.866666666666667,0.20552657862612364,0.5286656965074268,z3,3.0,3.2828764842969704,21.53333332935969,0.3831910779691854,82.06965523884695,509.63121503417875,107.66666664679845,617.2978816809772,296.74072721650475,0.5725515452340989,147,141.0,4.521521269361111,1.3472222222222285,2.2607606346805555,144.0,-4.821465796992393,-2.9200000000000017,-6.428621062656523
143.8028759736369,2024-06-12,0.41028431164012,5.0,5000.0,149.6945776661237,8981.674659967422,2024-06-12T16:23:47+00:00,1669,11.864583335320155,0.193179710524433,711.8750001192093,0E6B124E-C7EF-4F43-8F89-53374DDE7660,24,199.00000000000003,80.0,36.8504020524025,50.0,0.5897156883598791,88.27724091211955,5296.634454727173,719.0143798681845,100,2024-06-12 13:54:05+00:00,61.41733675400416,3685.0402052402496,Wednesday,2024,2024-06-10,15.033847375373895,204.9661526246261,197.47630683723827,0.691359980642485,0.7015932832431934,0.72820318688743,0.5566791166714615,0.9407896864054166,z2_60_70,z3_70_80,z3_70_80,z1_under_60,lthr_z3_90_95,8747.0,3.3817308791585687,4.240472857365065,1.0,107.15,38.63333333333333,0.7349948553789871,0.26500514462101293,z1,38.63333333333333,0.26500514462101293,22.283333333333335,0.15285240653938492,19.066666666666666,0.13078769863953355,13.4,0.09191722876414771,15.4,0.10563621813193094,37.0,0.2538013033039899,0.544701248039978,z3,3.0,3.3817308791585687,11.864583335320155,0.1931797105244332,81.538823279555,506.2267757361312,59.32291667660078,565.5496924127319,113.10993848254638,0.2562563634621481,149,146.0,5.559126272637144,3.4130434782608745,2.779563136318572,143.0,-4.88573491873043,-3.1111111111111143,-6.514313224973904
136.0128755364807,2024-06-13,0.324452381229137,0.8915400238037101,891.5400238037109,102.00357299049695,6120.214379429817,2024-06-13T01:52:19+00:00,1165,18.406250011920932,0.556158995864045,1104.3750007152557,4091B9C5-6744-4D32-8656-F8C06930F01A,24,167.0,86.0,111.36449716339393,22.86,0.675547618770862,68.9082708398501,4134.4962503910065,121.26092229340516,17,2024-06-13 00:10:19+00:00,33.095302150646845,1985.7181290388107,Thursday,2024,2024-06-10,15.036585282380884,204.96341471761912,197.47439030233338,0.6539080554638494,0.6635958701403735,0.6887620988637814,0.5002259162527611,0.8898258095097012,z2_60_70,z2_60_70,z2_60_70,z1_under_60,lthr_z2_85_90,6088.0,2.593462549277267,3.391765285996055,1.0,67.6,33.86666666666667,0.6662286465177398,0.33377135348226017,z1,33.86666666666667,0.33377135348226017,19.65,0.19365965834428384,19.65,0.19365965834428384,13.316666666666666,0.13124178712220763,12.133333333333333,0.11957950065703023,2.85,0.028088042049934297,0.48945301798922475,z2,2.0,2.593462549277267,18.40625001192093,0.5561589958640453,49.925956645882906,264.54244644332397,92.03125005960464,356.5736965029286,399.95253940661587,0.8187790804667188,45,44.0,3.5379003758648007,2.0958333333333314,1.7689501879324003,45.0,-4.169195252225046,-5.2666666666666515,-5.558927002966728
