week_start,sessions,total_distance_m,avg_distance_m,avg_pace_sec_per_100m,median_pace_sec_per_100m,avg_hr,avg_distance_per_stroke_m,avg_swolf
2024-05-27,2,4686.30012512207,2343.150062561035,140.44560227151888,140.44560227151888,,2.296494964036005,
2024-06-03,4,11978.640319824219,2994.6600799560547,94.59937879736339,94.45075532446907,,2.8819208350446623,
2024-06-10,6,22821.800079345703,3803.633346557617,115.76877145271204,79.48909152549447,,2.6963771013766764,
2024-06-17,6,25045.920043945312,4174.320007324219,94.20900596029183,89.02609422715096,,2.942911433144992,
2024-06-24,7,28317.520080566406,4045.3600115094864,113.83604311624447,97.36258423896062,,2.9256456909494646,
2024-07-01,5,23600.0,4720.0,83.37937488083602,75.63347821576255,,3.1674543597393097,
2024-07-08,3,10744.56005859375,3581.52001953125,90.86961709225078,83.68098066492779,,2.7461151964131303,
2024-07-15,3,10401.300277709961,3467.100092569987,107.73806046602085,115.87249748677799,,3.3355479254709124,
2024-07-22,5,14424.660385131836,2884.932077026367,118.41364511638669,114.71032531140597,,3.14238006980897,
2024-08-12,3,6652.260177612305,2217.4200592041016,153.81206107524582,167.14459652427104,,3.665237281214926,
2024-08-19,4,10675.62028503418,2668.905071258545,110.4981212723987,108.00322813694967,,2.9747570413018223,
2024-08-26,5,16253.460433959961,3250.692086791992,97.07473358434072,95.05867635163025,,3.209778887634008,
2024-09-02,2,6560.820175170898,3280.410087585449,90.21719540736163,90.21719540736163,,3.3096607703548377,
2024-09-09,5,16322.040435791016,3264.408087158203,98.30199548109006,96.38484237809779,,3.3017345285471293,
2024-09-16,4,13441.680358886719,3360.4200897216797,109.65267931462596,107.63130495024333,,3.096623600055773,
2024-09-23,5,17190.720458984375,3438.144091796875,94.95138377736453,92.24898743687343,,3.103673392145207,
2024-09-30,3,10447.020278930664,3482.340092976888,118.1684429086301,100.33521801718592,,3.2758392236448586,
2024-10-07,4,14561.820388793945,3640.4550971984863,118.71909257644114,118.01603898318945,,3.5843008017147153,
2024-10-14,4,12710.160339355469,3177.540084838867,107.83000359080519,107.82231931693562,,3.4334495159222844,
2024-10-21,6,19979.640533447266,3329.9400889078775,95.35841204054121,93.44850107415519,,3.3539230293686138,
2024-10-28,5,19339.560516357422,3867.9121032714843,99.24964017675416,88.71150699350497,,3.1927973036561283,
2024-11-04,5,18996.66050720215,3799.3321014404296,96.8027515527086,96.85056926852772,,3.0933767887989774,
2024-11-11,3,10561.320281982422,3520.4400939941406,102.07495822379899,98.18846890254905,,3.3170753098354466,
2024-11-18,5,20345.40054321289,4069.080108642578,87.95268751006411,89.21490497060738,,3.2372283612214465,
2024-11-25,4,12664.440338134766,3166.1100845336914,101.88764729015186,97.58298050662839,,2.9575581797701385,
2024-12-02,3,6172.200164794922,2057.4000549316406,88.4856317795121,89.96651888589285,,2.770295028115649,
2024-12-09,3,8686.800231933594,2895.6000773111978,99.37544307931297,97.08857254532067,,3.5684681761273116,
2024-12-16,5,22128.480590820312,4425.696118164063,95.52142497528698,95.90323215603611,,3.6331933707717035,
